Seed, tf, trc, s
21342, 104, 30, 1
21343, 106, 40, 1
21344, 92, 42, 1
21345, 100, 38, 1
21346, 86, 34, 1
21347, 86, 30, 1
21348, 98, 38, 1
21349, 86, 40, 1
21350, 104, 42, 1
21351, 88, 32, 1
21352, 112, 52, 1
21353, 90, 34, 1
21354, 92, 30, 1
21355, 100, 30, 1
21356, 88, 36, 1
21357, 108, 44, 1
21358, 94, 32, 1
21359, 90, 42, 1
21360, 94, 40, 1
21361, 116, 52, 1
21362, 96, 46, 1
21363, 96, 40, 1
21364, 82, 34, 1
21365, 96, 44, 1
21366, 110, 50, 1
21367, 96, 40, 1
21368, 90, 38, 1
21369, 94, 36, 1
21370, 88, 34, 1
21371, 84, 42, 1
21372, 106, 40, 1
21373, 94, 24, 1
21374, 94, 40, 1
21375, 88, 34, 1
21376, 94, 38, 1
21377, 94, 34, 1
21378, 100, 38, 1
21379, 98, 36, 1
21380, 94, 42, 1
21381, 102, 40, 1
21382, 106, 40, 1
21383, 94, 42, 1
21384, 102, 48, 1
21385, 90, 44, 1
21386, 100, 40, 1
21387, 98, 36, 1
21388, 90, 32, 1
21389, 86, 24, 1
21390, 108, 52, 1
21391, 120, 60, 1
21392, 92, 40, 1
21393, 98, 36, 1
21394, 84, 32, 1
21395, 88, 30, 1
21396, 94, 36, 1
21397, 96, 32, 1
21398, 110, 42, 1
21399, 102, 46, 1
21400, 92, 44, 1
21401, 108, 42, 1
21402, 100, 30, 1
21403, 112, 44, 1
21404, 102, 32, 1
21405, 94, 44, 1
21406, 86, 34, 1
21407, 124, 50, 1
21408, 114, 46, 1
21409, 92, 28, 1
21410, 92, 42, 1
21411, 98, 44, 1
21412, 102, 36, 1
21413, 100, 40, 1
21414, 92, 28, 1
21415, 94, 38, 1
21416, 92, 38, 1
21417, 86, 22, 1
21418, 98, 50, 1
21419, 94, 42, 1
21420, 88, 38, 1
21421, 88, 38, 1
21422, 98, 44, 1
21423, 100, 48, 1
21424, 84, 26, 1
21425, 90, 42, 1
21426, 106, 40, 1
21427, 104, 38, 1
21428, 100, 40, 1
21429, 94, 42, 1
21430, 120, 38, 1
21431, 94, 36, 1
21432, 98, 42, 1
21433, 108, 42, 1
21434, 92, 32, 1
21435, 92, 40, 1
21436, 92, 38, 1
21437, 126, 52, 1
21438, 88, 32, 1
21439, 104, 38, 1
21440, 94, 32, 1
21441, 90, 26, 1
21442, 98, 44, 1
21443, 100, 46, 1
21444, 106, 40, 1
21445, 104, 46, 1
21446, 102, 38, 1
21447, 80, 30, 1
21448, 98, 46, 1
21449, 102, 36, 1
21450, 102, 44, 1
21451, 88, 34, 1
21452, 106, 54, 1
21453, 104, 46, 1
21454, 88, 40, 1
21455, 102, 38, 1
21456, 98, 32, 1
21457, 114, 44, 1
21458, 90, 30, 1
21459, 110, 40, 1
21460, 98, 44, 1
21461, 104, 50, 1
21462, 102, 42, 1
21463, 86, 34, 1
21464, 100, 40, 1
21465, 90, 34, 1
21466, 98, 36, 1
21467, 88, 38, 1
21468, 84, 36, 1
21469, 96, 30, 1
21470, 94, 36, 1
21471, 100, 40, 1
21472, 104, 46, 1
21473, 92, 46, 1
21474, 90, 32, 1
21475, 94, 38, 1
21476, 94, 42, 1
21477, 100, 42, 1
21478, 86, 26, 1
21479, 104, 46, 1
21480, 104, 50, 1
21481, 108, 34, 1
21482, 92, 42, 1
21483, 106, 40, 1
21484, 110, 50, 1
21485, 88, 38, 1
21486, 102, 42, 1
21487, 92, 42, 1
21488, 90, 26, 1
21489, 104, 56, 1
21490, 98, 38, 1
21491, 104, 40, 1
21492, 86, 34, 1
21493, 108, 52, 1
21494, 100, 30, 1
21495, 106, 48, 1
21496, 102, 34, 1
21497, 100, 44, 1
21498, 106, 40, 1
21499, 96, 44, 1
21500, 94, 40, 1
21501, 106, 34, 1
21502, 92, 36, 1
21503, 88, 44, 1
21504, 100, 48, 1
21505, 88, 28, 1
21506, 114, 42, 1
21507, 90, 36, 1
21508, 86, 36, 1
21509, 90, 32, 1
21510, 92, 24, 1
21511, 98, 46, 1
21512, 104, 46, 1
21513, 88, 26, 1
21514, 88, 36, 1
21515, 88, 40, 1
21516, 90, 32, 1
21517, 94, 36, 1
21518, 98, 48, 1
21519, 96, 40, 1
21520, 106, 48, 1
21521, 116, 44, 1
21522, 96, 38, 1
21523, 88, 26, 1
21524, 98, 40, 1
21525, 124, 50, 1
21526, 102, 40, 1
21527, 98, 40, 1
21528, 110, 46, 1
21529, 108, 42, 1
21530, 104, 44, 1
21531, 130, 40, 1
21532, 100, 30, 1
21533, 102, 46, 1
21534, 80, 32, 1
21535, 98, 44, 1
21536, 88, 40, 1
21537, 98, 36, 1
21538, 92, 46, 1
21539, 90, 36, 1
21540, 94, 38, 1
21541, 102, 44, 1
21542, 92, 36, 1
21543, 94, 48, 1
21544, 96, 42, 1
21545, 90, 44, 1
21546, 96, 38, 1
21547, 84, 30, 1
21548, 98, 46, 1
21549, 84, 36, 1
21550, 98, 40, 1
21551, 112, 42, 1
21552, 98, 38, 1
21553, 104, 42, 1
21554, 90, 32, 1
21555, 104, 38, 1
21556, 94, 32, 1
21557, 94, 34, 1
21558, 110, 46, 1
21559, 104, 38, 1
21560, 98, 36, 1
21561, 98, 34, 1
21562, 100, 40, 1
21563, 96, 34, 1
21564, 92, 28, 1
21565, 88, 30, 1
21566, 104, 38, 1
21567, 84, 28, 1
21568, 86, 30, 1
21569, 100, 40, 1
21570, 108, 58, 1
21571, 106, 42, 1
21572, 106, 48, 1
21573, 92, 38, 1
21574, 108, 50, 1
21575, 106, 44, 1
21576, 112, 40, 1
21577, 96, 40, 1
21578, 88, 34, 1
21579, 102, 38, 1
21580, 98, 42, 1
21581, 90, 38, 1
21582, 98, 36, 1
21583, 88, 30, 1
21584, 110, 44, 1
21585, 96, 42, 1
21586, 84, 34, 1
21587, 100, 34, 1
21588, 104, 42, 1
21589, 102, 44, 1
21590, 104, 46, 1
21591, 90, 30, 1
21592, 90, 36, 1
21593, 124, 60, 1
21594, 96, 36, 1
21595, 96, 26, 1
21596, 104, 42, 1
21597, 116, 46, 1
21598, 88, 28, 1
21599, 96, 46, 1
21600, 92, 34, 1
21601, 94, 32, 1
21602, 92, 38, 1
21603, 98, 44, 1
21604, 102, 48, 1
21605, 92, 30, 1
21606, 92, 50, 1
21607, 96, 44, 1
21608, 98, 38, 1
21609, 98, 26, 1
21610, 94, 36, 1
21611, 96, 34, 1
21612, 92, 42, 1
21613, 100, 34, 1
21614, 92, 28, 1
21615, 108, 36, 1
21616, 112, 48, 1
21617, 116, 52, 1
21618, 100, 38, 1
21619, 100, 44, 1
21620, 88, 28, 1
21621, 102, 44, 1
21622, 96, 38, 1
21623, 88, 26, 1
21624, 106, 36, 1
21625, 86, 48, 1
21626, 106, 42, 1
21627, 100, 34, 1
21628, 86, 44, 1
21629, 90, 36, 1
21630, 98, 40, 1
21631, 82, 40, 1
21632, 100, 40, 1
21633, 88, 38, 1
21634, 82, 34, 1
21635, 98, 44, 1
21636, 104, 42, 1
21637, 88, 30, 1
21638, 106, 38, 1
21639, 92, 38, 1
21640, 84, 32, 1
21641, 98, 36, 1
21642, 94, 26, 1
21643, 100, 38, 1
21644, 98, 38, 1
21645, 92, 30, 1
21646, 94, 48, 1
21647, 114, 44, 1
21648, 98, 42, 1
21649, 100, 38, 1
21650, 98, 44, 1
21651, 104, 50, 1
21652, 112, 42, 1
21653, 90, 26, 1
21654, 88, 36, 1
21655, 90, 26, 1
21656, 88, 36, 1
21657, 98, 42, 1
21658, 106, 44, 1
21659, 102, 44, 1
21660, 126, 46, 1
21661, 98, 38, 1
21662, 92, 38, 1
21663, 98, 48, 1
21664, 96, 28, 1
21665, 102, 38, 1
21666, 98, 38, 1
21667, 104, 30, 1
21668, 102, 36, 1
21669, 100, 38, 1
21670, 86, 38, 1
21671, 106, 38, 1
21672, 102, 38, 1
21673, 90, 40, 1
21674, 110, 36, 1
21675, 104, 38, 1
21676, 90, 34, 1
21677, 88, 28, 1
21678, 90, 34, 1
21679, 102, 44, 1
21680, 110, 54, 1
21681, 110, 42, 0
21682, 88, 28, 1
21683, 90, 34, 1
21684, 90, 36, 1
21685, 102, 36, 1
